"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_300f","Eastern and Western Europe (i.e., the EU28)","Emissions|Kyoto Gases","Mt CO2-equiv/yr",5229.287,4848.1694,4173.3897,3992.3484,3197.9163,2394.2108,1739.4172,1133.392,754.5065,489.7146,428.6152,382.9816,"",200.647,"",-77.4598,"",-334.3218,"",-377.5114
"REMIND 2.1","CEMICS_GDPgrowth_1p5","Eastern and Western Europe (i.e., the EU28)","Emissions|Kyoto Gases","Mt CO2-equiv/yr",5590.6884,5177.3761,4424.8137,4065.9051,3381.551,2699.4883,2080.7574,1539.7644,1126.6525,813.1451,674.893,562.8027,"",377.1771,"",262.4814,"",133.0401,"",-44.7912
"REMIND-MAgPIE 2.1-4.2","SusDev_SDP-PkBudg1000","Eastern and Western Europe (i.e., the EU28)","Emissions|Kyoto Gases","Mt CO2-equiv/yr",5229.2849,4846.9851,4171.7382,3988.2638,2890.3908,1989.2593,1298.6748,791.0261,522.6575,307.6965,242.1223,217.7125,"",181.6755,"",166.6375,"",115.0517,"",79.1772
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Eastern and Western Europe (i.e., the EU28)","Emissions|Kyoto Gases","Mt CO2-equiv/yr",5229.287,4848.1694,4173.3897,3992.3484,3215.9687,2435.2189,1799.8204,1207.8524,818.3993,521.02,428.4794,397.1048,"",282.5464,"",96.7401,"",-162.1315,"",-361.1607
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","Eastern and Western Europe (i.e., the EU28)","Emissions|Kyoto Gases","Mt CO2-equiv/yr",5379.8853,4962.8541,4658.5734,4424.3457,3732.7951,3031.8724,2271.1843,1738.5681,1245.7007,940.2911,649.6605,447.226,"",228.4468,"",52.3329,"",-150.1924,"",-254.0742
"WITCH 5.0","EN_NPi2020_400f","Eastern and Western Europe (i.e., the EU28)","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",4481.055779703621,4123.46891536694,3719.4727130865,2140.37180008004,1714.4363831882,1292.262775589,1012.42908387448,719.1703279248391,507.529911398581,352.743966923276,253.190406166422,183.743592577193,54.68456231354429,-130.179987200867,-234.070078900842,-270.846270288732,-311.424458716568,-344.277711943595,-395.928607843796
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_red_eff","Eastern and Western Europe (i.e., the EU28)","Emissions|Kyoto Gases","Mt CO2-equiv/yr",5379.8826,4962.4812,4658.0513,4407.9558,3212.3349,2049.8105,1242.3561,834.8573,659.8085,578.9221,513.5674,453.019,"",377.4772,"",337.2985,"",299.6774,"",264.7919
"WITCH 5.0","EN_NPi2020_450f","Eastern and Western Europe (i.e., the EU28)","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",4481.055779703621,4123.46891536694,3719.4727130865,2217.09212713758,1786.07851363463,1359.53954554029,1093.67342293946,792.9817794863241,596.108024340941,451.521216914395,307.801698718858,233.026745218475,161.437218432839,31.371189087464,-170.33826790025,-221.910908867012,-264.177637085879,-297.162811605111,-352.230455224698
"REMIND 2.1","CEMICS_Linear_1p5","Eastern and Western Europe (i.e., the EU28)","Emissions|Kyoto Gases","Mt CO2-equiv/yr",5590.6884,5177.3761,4424.8137,4065.9051,3393.5701,2606.7144,1829.8365,1141.8499,630.289,247.4121,88.7053,-14.8477,"",-242.6718,"",-322.4992,"",-349.0595,"",-369.8409
"AIM/CGE 2.2","EN_NPi2020_300f","Eastern and Western Europe (i.e., the EU28)","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",5175.614699999999,4850.0239,4954.4365,4020.0753,3209.8423,2639.4753,2466.6741,2192.1428,1566.3425,936.0192,373.0282,64.061,-151.96179999999998,-203.2754,-196.7156,-187.1136,-180.8152,-174.7502,-173.3261
"WITCH 5.0","EN_NPi2020_500f","Eastern and Western Europe (i.e., the EU28)","Emissions|Kyoto Gases","Mt CO2-equiv/yr","",4481.055779703621,4123.46891536694,3719.4727130865,2274.36642651324,1850.825828132989,1431.10109451681,1167.60784713901,916.1910280468152,668.271805069503,535.949619944555,411.140406630562,277.897411313487,213.150169365328,121.682819266672,-32.9377823753869,-177.533907212985,-219.992702158103,-252.903252384043,-311.157478156266
"REMIND-MAgPIE 2.1-4.2","CEMICS_SSP1-1p5C-fullCDR","Eastern and Western Europe (i.e., the EU28)","Emissions|Kyoto Gases","Mt CO2-equiv/yr",5586.0846,4935.4379,4266.5659,3993.0852,3130.8683,2338.1153,1712.29,1100.1051,678.5442,420.7994,365.7183,364.6511,"",293.6279,"",210.3845,"",53.269,"",-12.7363
"REMIND-MAgPIE 1.7-3.0","CD-LINKS_NPi2020_400","Eastern and Western Europe (i.e., the EU28)","Emissions|Kyoto Gases","Mt CO2-equiv/yr",5254.8135,4821.3639,4546.0368,4321.4177,3585.3075,2923.9494,2305.6767,1805.7272,1334.3094,988.0595,700.1219,479.3451,"",253.9493,"",106.2753,"",-60.5823,"",-207.7473
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_200f","Eastern and Western Europe (i.e., the EU28)","Emissions|Kyoto Gases","Mt CO2-equiv/yr",5229.287,4848.1694,4173.3897,3992.3484,3182.8692,2359.1801,1704.7197,1084.3297,707.6513,448.6698,389.7706,336.1234,"",131.6439,"",-137.9578,"",-348.0764,"",-385.3029
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_def_Budg900","Eastern and Western Europe (i.e., the EU28)","Emissions|Kyoto Gases","Mt CO2-equiv/yr",5216.635,4836.2128,4351.4101,4100.3004,2871.4927,1788.9571,1168.054,634.6656,367.4812,183.7344,102.4125,13.3053,"",-41.766,"",-76.0972,"",-141.7086,"",-188.2319
"REMIND 2.1","CEMICS_HotellingConst_1p5","Eastern and Western Europe (i.e., the EU28)","Emissions|Kyoto Gases","Mt CO2-equiv/yr",5590.6884,5177.3761,4424.8137,4065.9051,3450.3119,2665.5507,1851.9935,1142.8725,602.6052,179.1617,2.5771,-106.6123,"",-290.2057,"",-334.8911,"",-348.4928,"",-361.4814
"REMIND 2.1","R2p1_SSP5-PkBudg900","Eastern and Western Europe (i.e., the EU28)","Emissions|Kyoto Gases","Mt CO2-equiv/yr",5231.6575,4833.5444,4153.1811,3971.715,3129.8124,2212.4309,1443.3503,608.9345,405.6232,337.662,385.8365,426.2064,"",457.3395,"",472.2781,"",379.7531,"",261.1426
"REMIND-MAgPIE 2.1-4.2","SusDev_SSP1-PkBudg900","Eastern and Western Europe (i.e., the EU28)","Emissions|Kyoto Gases","Mt CO2-equiv/yr",5229.2849,4846.9851,4171.7382,3988.2638,2933.376,2038.377,1389.0246,801.5345,512.6102,371.559,323.9402,285.3676,"",195.1826,"",107.4143,"",-13.412,"",-54.6279
"REMIND 2.1","R2p1_SSP1-PkBudg900","Eastern and Western Europe (i.e., the EU28)","Emissions|Kyoto Gases","Mt CO2-equiv/yr",5231.6575,4833.5444,4153.1811,3971.715,2896.7835,1980.5669,1334.9845,761.0454,485.7052,331.2202,260.5583,216.5795,"",158.1392,"",105.7268,"",-17.1079,"",-68.1203
"REMIND 2.1","LeastTotalCost_LTC_brkLR15_SSP1_P50","Eastern and Western Europe (i.e., the EU28)","Emissions|Kyoto Gases","Mt CO2-equiv/yr",5590.6884,5177.0001,4421.6524,4068.4034,3131.8585,2518.9271,1915.4573,1525.9421,1179.1028,877.3539,631.4635,433.657,"",204.0093,"",75.1169,"",-14.5774,"",-62.8837
"IMAGE 3.2","SSP1_SPA1_19I_LIRE_LB","Eastern and Western Europe (i.e., the EU28)","Emissions|Kyoto Gases","Mt CO2-equiv/yr",5865.824798583984,5542.5704345703125,5323.025817871094,4961.069580078125,4436.655151367188,2866.9092102050777,1762.0514221191406,899.6228942871094,392.7963371276856,32.31613254547118,-84.90064239501956,-147.40911483764646,-123.07659912109376,-138.59508514404294,-106.43797302246098,-144.00728607177734,-134.4468994140625,-114.0972976684571,-96.0395355224609,-132.4738006591797
"IMAGE 3.2","SSP1_SPA1_19I_D_LB","Eastern and Western Europe (i.e., the EU28)","Emissions|Kyoto Gases","Mt CO2-equiv/yr",5902.984436035156,5584.872497558594,5360.81787109375,4990.678527832031,4474.911682128906,3046.798614501953,2145.432861328125,1502.385513305664,1062.2128143310547,752.0107879638672,661.8379058837891,544.3781509399414,469.9406509399415,402.35007095336914,353.0362557172775,243.09703874588013,180.96461296081537,115.092924118042,105.7366943359375,28.57951545715332
"IMAGE 3.2","SSP1_SPA1_19I_RE_LB","Eastern and Western Europe (i.e., the EU28)","Emissions|Kyoto Gases","Mt CO2-equiv/yr",5902.650970458984,5583.380493164063,5359.998474121094,4989.658935546875,4467.0091552734375,3048.9843444824223,2116.436584472656,1387.2704010009766,942.1165924072266,644.2758026123047,577.3517684936523,462.49433898925776,404.0121774673462,363.03551483154297,346.57053232192993,233.0688886642456,171.5930213928222,126.80139350891112,124.4172477722168,52.80008792877199
"IMAGE 3.2","SSP2_SPA2_19I_LI","Eastern and Western Europe (i.e., the EU28)","Emissions|Kyoto Gases","Mt CO2-equiv/yr",5999.919952392578,5707.0228271484375,5505.797302246094,5157.935546875,4872.916931152344,4270.614074707031,3235.4248046875,1999.2018127441409,1067.5870819091797,345.7042007446289,35.17777967453003,-104.80561256408691,-126.7987937927246,-145.06621766090393,-168.3570041656494,-290.6396541595459,-371.88993072509766,-328.5396614074707,-323.6261329650879,-526.3995666503906
"Â© AR6 Scenario Explorer and Database hosted by IIASA https://data.ece.iiasa.ac.at/ar6"